"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Raffy Lopez","Padres","37","102","117","18","13","2","0","3","11","13","13","3","43","0","2","0","1","1","0",".176","12606"
"Tony Wolters","Rockies","74","182","216","31","20","4","4","3","19","27","26","2","33","6","2","0","6","2","0",".170","11470"
"Pedro Severino","Nationals","70","190","213","32","21","9","0","2","14","15","18","4","47","4","1","0","3","1","0",".168","14523"
"Roberto Perez","Indians","62","179","210","30","18","9","1","2","16","19","21","0","70","1","2","7","6","1","0",".168","2900"
"Kyle Higashioka","Yankees","29","72","79","12","7","2","0","3","6","6","6","0","16","1","0","0","2","0","0",".167","5517"
"Tomas Nido","Mets","34","84","90","14","10","3","0","1","10","9","4","0","27","0","2","0","4","0","0",".167","13755"
"Joe Hudson","Angels","8","12","12","2","1","1","0","0","0","1","0","0","0","0","0","0","0","0","0",".167","14412"
"Alex Avila","Diamondbacks","80","194","234","32","19","6","0","7","13","20","37","2","90","1","2","0","4","0","0",".165","7476"
"Juan Centeno","Rangers","10","37","38","6","4","1","0","1","3","3","1","0","7","0","0","0","2","0","0",".162","7168"
"Tony Cruz","Reds","9","26","26","4","2","1","0","1","2","2","0","0","11","0","0","0","4","0","0",".154","2802"
"Jose Lobaton","Mets","22","49","57","7","4","2","1","0","3","4","7","0","15","0","1","0","2","0","0",".143","4243"
"Jason Castro","Twins","19","63","74","9","5","3","0","1","4","3","9","0","26","1","1","0","2","0","0",".143","8722"
"Carlos Perez","- - -","28","70","75","10","7","2","0","1","1","3","2","0","21","1","0","2","4","1","0",".143","10642"
"Eric Haase","Indians","9","16","17","2","2","0","0","0","0","1","0","0","6","1","0","0","1","0","0",".125","14111"
"Andrew Susac","Orioles","9","26","26","3","2","1","0","0","1","0","0","0","12","0","0","0","0","0","0",".115","13132"
"Carson Kelly","Cardinals","19","35","42","4","4","0","0","0","1","3","3","0","7","1","0","3","0","0","0",".114","13620"
"Mike Marjama","Mariners","10","27","29","3","0","3","0","0","1","0","2","0","6","0","0","0","2","0","1",".111","12594"
"Miguel Montero","Nationals","4","11","13","0","0","0","0","0","0","0","2","1","3","0","0","0","0","0","0",".000","3364"
